ρολογια           => ρολ
λαδουσα           => λαδουσ
σκι               => σκ
κρεμασ            => κρεμα
βερμουδεσ         => βερμουδ
ματια             => ματι
ματιων            => ματι
λαβασ             => λαβα
ακριβωσ           => ακριβωσ
αλα               => αλα
αλλα              => αλλα
αλλιωσ            => αλλιωσ
αλλοτε            => αλλοτε
αμα               => αμα
ανω               => ανω
ανα               => ανα
αναμεσα           => αναμεσα
αναμεταξυ         => αναμεταξυ
ανευ              => ανευ
αντι              => αντι
αντιπερα          => αντιπερα
αντιο             => αντιο
αξαφνα            => αξαφνα
απο               => απο
αποψε             => αποψε
αρα               => αρα
αραγε             => αραγε
αυριο             => αυριο
αφοι              => αφοι
αφου              => αφου
αφοτου            => αφοτου
βιολογοσ          => βιολογοσ
βρε               => βρε
γαζι              => γαζι
γεια              => γεια
για               => για
γιατι             => γιατι
γραμμα            => γραμμα
δεη               => δεη
δεν               => δεν
δηλαδη            => δηλαδη
διχωσ             => διχωσ
δυο               => δυο
εαν               => εαν
εγω               => εγω
εδω               => εδω
εδα               => εδα
ειθε              => ειθε
ειμαι             => ειμαι
ειμαστε           => ειμαστε
εισαι             => εισαι
εισαστε           => εισαστε
ειναι             => ειναι
ειστε             => ειστε
ειτε              => ειτε
εκει              => εκει
εκο               => εκο
ελα               => ελα
εμασ              => εμασ
εμεισ             => εμεισ
εντελωσ           => εντελωσ
εντοσ             => εντοσ
εντωμεταξυ        => εντωμεταξυ
ενω               => ενω
εξι               => εξι
εξισου            => εξισου
εξησ              => εξησ
εξω               => εξω
εοκ               => εοκ
επανω             => επανω
επειδη            => επειδη
επειτα            => επειτα
επι               => επι
επισησ            => επισησ
επομενωσ          => επομενωσ
επτα              => επτα
εσασ              => εσασ
εσεισ             => εσεισ
εστω              => εστω
εσυ               => εσυ
εσω               => εσω
ετσι              => ετσι
ευγε              => ευγε
εφε               => εφε
εφεξησ            => εφεξησ
εχτεσ             => εχτεσ
εωσ               => εωσ
ηδη               => ηδη
ημι               => ημι
ηπα               => ηπα
ητοι              => ητοι
θερμοσ            => θερμοσ
θεσ               => θεσ
ιδιωσ             => ιδιωσ
ιδη               => ιδη
ικα               => ικα
ισωσ              => ισωσ
καθε              => καθε
καθετι            => καθετι
καθολου           => καθολου
καθωσ             => καθωσ
και               => και
καν               => καν
κανο              => κανο
καποτε            => καποτε
καπου             => καπου
κατα              => κατα
κατι              => κατι
κατοπιν           => κατοπιν
κατω              => κατω
κει               => κει
κιχ               => κιχ
κκε               => κκε
κολαν             => κολαν
κρεμα             => κρεμα
κυριωσ            => κυριωσ
κωσ               => κωσ
λαβα              => λαβα
μαγιο             => μαγιο
μαγιω             => μαγιω
μακαρι            => μακαρι
μακραμε           => μακραμε
μαλιστα           => μαλιστα
μαλλον            => μαλλον
μαι               => μαι
μαο               => μαο
μαουσ             => μαουσ
μασ               => μασ
ματι              => ματι
μεθαυριο          => μεθαυριο
μεσ               => μεσ
μεσα              => μεσα
μετα              => μετα
μεταξυ            => μεταξυ
μεχρι             => μεχρι
μηδε              => μηδε
μην               => μην
μηπωσ             => μηπωσ
μητε              => μητε
μια               => μια
μιασ              => μιασ
μισ               => μισ
μμε               => μμε
μολονοτι          => μολονοτι
μου               => μου
μπα               => μπα
μπασ              => μπασ
μπετονι           => μπετονι
μπουφαν           => μπουφαν
μπροσ             => μπροσ
ναι               => ναι
νεσ               => νεσ
ντα               => ντα
ντε               => ντε
ντουλαπα          => ντουλαπα
ξανα              => ξανα
οηε               => οηε
οκτω              => οκτω
ομωσ              => ομωσ
ονε               => ονε
οπα               => οπα
οπου              => οπου
οπωσ              => οπωσ
οσο               => οσο
οταν              => οταν
οτε               => οτε
οτι               => οτι
ουτε              => ουτε
οχι               => οχι
παλι              => παλι
παν               => παν
πανι              => πανι
πανο              => πανο
παντελονα         => παντελονα
παντοτε           => παντοτε
παντου            => παντου
παντωσ            => παντωσ
πανω              => πανω
παρα              => παρα
περα              => περα
περι              => περι
περλε             => περλε
περιπου           => περιπου
πεταλο            => πεταλο
πια               => πια
πιο               => πιο
πισω              => πισω
πλαι              => πλαι
πλεον             => πλεον
πλην              => πλην
ποτε              => ποτε
που               => που
προ               => προ
προσ              => προσ
προχτεσ           => προχτεσ
προχθεσ           => προχθεσ
ροδι              => ροδι
ρολα              => ρολα
πωσ               => πωσ
σαι               => σαι
σασ               => σασ
σαν               => σαν
σεισ              => σεισ
σια               => σια
σοι               => σοι
σου               => σου
σρι               => σρι
στυλο             => στυλο
συν               => συν
συναμα            => συναμα
σχεδον            => σχεδον
ταδε              => ταδε
ταξι              => ταξι
ταχα              => ταχα
τει               => τει
την               => την
τησ               => τησ
τιποτα            => τιποτα
τιποτε            => τιποτε
τισ               => τισ
τον               => τον
τοτε              => τοτε
του               => του
τουσ              => τουσ
τσα               => τσα
τσε               => τσε
τσι               => τσι
τσου              => τσου
των               => των
υπο               => υπο
υποψη             => υποψη
υποψιν            => υποψιν
υστερα            => υστερα
φετοσ             => φετοσ
φισ               => φισ
φλοτερ            => φλοτερ
φπα               => φπα
χαρτη             => χαρτη
χαφ               => χαφ
χθεσ              => χθεσ
χτεσ              => χτεσ
χωρισ             => χωρισ
ωσ                => ωσ
ωσαν              => ωσαν
ωσοτου            => ωσοτου
ωσπου             => ωσπου
ωστε              => ωστε
ωστοσο            => ωστοσο
